journey_id,school,date,channel_grouping,source,medium,campaign,country,touchpoint,total_touchpoints,stage,stage_idx,attribution_weight,status,closed_reason
BCS-0001,BCS,2026-06-14,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Bangladesh,1,1,D1 Lead,0,0.051669,Active,
BCS-0002,BCS,2026-06-27,BrandedPaidSearch,google,cpc,FPD_PM_Local_SEM_SG_GSEM_EN_BRAND_Brand,Singapore,1,1,D1 Lead,0,0.012917,Active,
BCS-0003,BCS,2026-06-11,OrganicSearch,google,organic,(organic),Singapore,1,3,D1 Lead,0,0.103672,Active,
BCS-0003,BCS,2026-06-11,OrganicSearch,google,organic,(organic),Singapore,2,3,D1 Lead,0,0.051836,Active,
BCS-0003,BCS,2026-06-12,OrganicSearch,google,organic,(organic),Singapore,3,3,D1 Lead,0,0.103672,Active,
BCS-0004,BCS,2026-06-11,OrganicSearch,google,organic,(organic),Singapore,1,3,D1 Lead,0,0.103672,Active,
BCS-0004,BCS,2026-06-11,OrganicSearch,google,organic,(organic),Singapore,2,3,D1 Lead,0,0.051836,Active,
BCS-0004,BCS,2026-06-12,OrganicSearch,google,organic,(organic),Singapore,3,3,D1 Lead,0,0.103672,Active,
BCS-0005,BCS,2026-06-16,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Bangladesh,1,1,D1 Lead,0,0.051669,Active,
BCS-0006,BCS,2026-06-08,Direct,(direct),(none),(direct),China,1,6,D1 Lead,0,0.062765,Active,
BCS-0006,BCS,2026-06-10,Direct,(direct),(none),(direct),China,2,6,D1 Lead,0,0.007846,Active,
BCS-0006,BCS,2026-06-10,Direct,(direct),(none),(direct),China,3,6,D1 Lead,0,0.007846,Active,
BCS-0006,BCS,2026-06-22,OrganicSearch,google,organic,(organic),China,4,6,D1 Lead,0,0.012959,Active,
BCS-0006,BCS,2026-06-23,Direct,(direct),(none),(direct),China,5,6,D1 Lead,0,0.007846,Active,
BCS-0006,BCS,2026-06-28,OrganicSearch,google,organic,(organic),China,6,6,D1 Lead,0,0.103672,Active,
BCS-0007,BCS,2026-06-25,PMaxPaidSearch,google,cpc,FPD_PM_Regional_PMAX_UK_PMAX_EN_GENERIC_Generic,United Kingdom,1,3,D1 Lead,0,0.044251,Active,
BCS-0007,BCS,2026-06-27,OrganicSearch,google,organic,(organic),United Kingdom,2,3,D1 Lead,0,0.051836,Active,
BCS-0007,BCS,2026-06-28,PMaxPaidSearch,google,cpc,FPD_UK_PMax_AO-2024,United Kingdom,3,3,D1 Lead,0,0.044251,Active,
BCS-0008,BCS,2026-06-17,OrganicSearch,google,organic,(organic),Spain,1,15,D1 Lead,0,0.103672,Active,
BCS-0008,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,2,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,3,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,4,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,5,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,6,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,7,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,8,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,9,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,10,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,11,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,12,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,13,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,14,15,D1 Lead,0,0.003987,Active,
BCS-0008,BCS,2026-06-20,OrganicSearch,google,organic,(organic),Spain,15,15,D1 Lead,0,0.103672,Active,
BCS-0009,BCS,2026-06-26,Direct,(direct),(none),(not set),United Kingdom,1,1,D1 Lead,0,0.156912,Active,
BCS-0010,BCS,2026-06-29,Direct,(direct),(none),(not set),United Kingdom,1,1,D1 Lead,0,0.156912,Active,
BCS-0011,BCS,2026-06-14,OrganicSearch,google,organic,(organic),Japan,1,1,D1 Lead,0,0.259180,Active,
BCS-0012,BCS,2026-06-22,PMaxPaidSearch,google,cpc,FPD_PM_Regional_PMAX_UK_PMAX_EN_GENERIC_Generic,United Kingdom,1,1,D1 Lead,0,0.110629,Active,
BCS-0013,BCS,2026-06-26,Direct,(direct),(none),(not set),United Kingdom,1,1,D1 Lead,0,0.156912,Active,
BCS-0014,BCS,2026-06-12,Local,google,gmb,google_my_business,France,1,7,D1 Lead,0,0.036975,Active,
BCS-0014,BCS,2026-06-12,Local,google,gmb,google_my_business,France,2,7,D1 Lead,0,0.003698,Active,
BCS-0014,BCS,2026-06-15,Local,google,gmb,google_my_business,France,3,7,D1 Lead,0,0.003698,Active,
BCS-0014,BCS,2026-06-15,Local,google,gmb,google_my_business,France,4,7,D1 Lead,0,0.003698,Active,
BCS-0014,BCS,2026-06-15,Local,google,gmb,google_my_business,France,5,7,D1 Lead,0,0.003698,Active,
BCS-0014,BCS,2026-06-15,Local,google,gmb,google_my_business,France,6,7,D1 Lead,0,0.003698,Active,
BCS-0014,BCS,2026-06-17,Local,google,gmb,google_my_business,France,7,7,D1 Lead,0,0.036975,Active,
BCS-0015,BCS,2026-06-17,OrganicSearch,google,organic,(organic),Spain,1,15,D1 Lead,0,0.103672,Active,
BCS-0015,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,2,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,3,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,4,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,5,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,6,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,7,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,8,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,9,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,10,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,11,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,12,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,13,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,14,15,D1 Lead,0,0.003987,Active,
BCS-0015,BCS,2026-06-20,OrganicSearch,google,organic,(organic),Spain,15,15,D1 Lead,0,0.103672,Active,
BCS-0016,BCS,2026-06-14,OrganicSearch,google,organic,(organic),Japan,1,1,D1 Lead,0,0.259180,Active,
BCS-0017,BCS,2026-06-18,OrganicSearch,bing,organic,(organic),Thailand,1,2,D1 Lead,0,0.129590,Active,
BCS-0017,BCS,2026-06-19,OrganicSearch,bing,organic,(organic),Thailand,2,2,D1 Lead,0,0.129590,Active,
BCS-0018,BCS,2026-06-25,OrganicSearch,google,organic,(organic),India,1,2,D1 Lead,0,0.129590,Active,
BCS-0018,BCS,2026-06-26,OrganicSearch,google,organic,(organic),India,2,2,D1 Lead,0,0.129590,Active,
BCS-0019,BCS,2026-06-17,OrganicSearch,google,organic,(organic),Spain,1,15,D1 Lead,0,0.103672,Active,
BCS-0019,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,2,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,3,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,4,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,5,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,6,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,7,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-18,OrganicSearch,google,organic,(organic),Spain,8,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,9,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,10,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,11,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,12,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,13,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-19,OrganicSearch,google,organic,(organic),Spain,14,15,D1 Lead,0,0.003987,Active,
BCS-0019,BCS,2026-06-20,OrganicSearch,google,organic,(organic),Spain,15,15,D1 Lead,0,0.103672,Active,
BCS-0020,BCS,2026-06-20,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Singapore,1,3,D1 Lead,0,0.020667,Active,
BCS-0020,BCS,2026-06-21,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Singapore,2,3,D1 Lead,0,0.010334,Active,
BCS-0020,BCS,2026-06-22,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Singapore,3,3,D1 Lead,0,0.020667,Active,
BCS-0021,BCS,2026-06-25,PMaxPaidSearch,google,cpc,FPD_PM_Regional_PMAX_UK_PMAX_EN_GENERIC_Generic,United Kingdom,1,3,D1 Lead,0,0.044251,Active,
BCS-0021,BCS,2026-06-27,OrganicSearch,google,organic,(organic),United Kingdom,2,3,D1 Lead,0,0.051836,Active,
BCS-0021,BCS,2026-06-28,PMaxPaidSearch,google,cpc,FPD_UK_PMax_AO-2024,United Kingdom,3,3,D1 Lead,0,0.044251,Active,
BCS-0022,BCS,2026-06-28,PMaxPaidSearch,google,cpc,FPD_PM_Regional_PMAX_HK_PMAX_EN_GENERIC_Generic,Singapore,1,1,D1 Lead,0,0.110629,Active,
BCS-0023,BCS,2026-06-15,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Singapore,1,1,D1 Lead,0,0.110629,Active,
BCS-0024,BCS,2026-06-25,Direct,(direct),(none),(direct),Singapore,1,5,D1 Lead,0,0.062765,Active,
BCS-0024,BCS,2026-06-25,Direct,(direct),(none),(direct),Singapore,2,5,D1 Lead,0,0.010461,Active,
BCS-0024,BCS,2026-06-25,Direct,(direct),(none),(direct),Singapore,3,5,D1 Lead,0,0.010461,Active,
BCS-0024,BCS,2026-06-25,Direct,(direct),(none),(direct),Singapore,4,5,D1 Lead,0,0.010461,Active,
BCS-0024,BCS,2026-06-25,Direct,(direct),(none),(direct),Singapore,5,5,D1 Lead,0,0.062765,Active,
BCS-0025,BCS,2026-06-15,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Singapore,1,3,D1 Lead,0,0.044251,Active,
BCS-0025,BCS,2026-06-15,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Singapore,1,3,D2 Enquiry,1,0.040033,Active,
BCS-0025,BCS,2026-06-22,PMaxPaidSearch,google,cpc,FPD_SG_PMax_AO,Singapore,2,3,D1 Lead,0,0.022126,Active,
BCS-0025,BCS,2026-06-22,PMaxPaidSearch,google,cpc,FPD_SG_PMax_AO,Singapore,2,3,D2 Enquiry,1,0.020017,Active,
BCS-0025,BCS,2026-06-22,PMaxPaidSearch,google,cpc,FPD_SG_PMax_AO,Singapore,3,3,D1 Lead,0,0.044251,Active,
BCS-0025,BCS,2026-06-22,PMaxPaidSearch,google,cpc,FPD_SG_PMax_AO,Singapore,3,3,D2 Enquiry,1,0.040033,Active,
BCS-0026,BCS,2026-06-19,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,Singapore,1,3,D1 Lead,0,0.020667,Active,
BCS-0026,BCS,2026-06-19,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,Singapore,1,3,D2 Enquiry,1,0.006903,Active,
BCS-0026,BCS,2026-06-19,Social,ig,social,(referral),Singapore,2,3,D1 Lead,0,0.002000,Active,
BCS-0026,BCS,2026-06-19,Social,ig,social,(referral),Singapore,2,3,D2 Enquiry,1,0.002000,Active,
BCS-0026,BCS,2026-06-19,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,Singapore,3,3,D1 Lead,0,0.020667,Active,
BCS-0026,BCS,2026-06-19,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,Singapore,3,3,D2 Enquiry,1,0.006903,Active,
BCS-0027,BCS,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,1,2,D1 Lead,0,0.129590,Active,
BCS-0027,BCS,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,1,2,D2 Enquiry,1,0.095941,Active,
BCS-0027,BCS,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,2,2,D1 Lead,0,0.129590,Active,
