ga4_campaign,platform_campaign,platform
FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,FPD_SG_PMax_AO,google
FPD_PM_Local_SEM_SG_GSEM_EN_BRAND_Brand,FPD_SG_Search_Brand,google
FPD_PM_Regional_PMAX_HK_PMAX_EN_GENERIC_Generic,FPD_HK_PMax_AO-2024,google
FPD_PM_Regional_PMAX_UK_PMAX_EN_GENERIC_Generic,FPD_UK_PMax_AO-2024,google
FPD_SG_PMax_AO,FPD_SG_PMax_AO,google
FPD_UK_PMax_AO-2024,FPD_UK_PMax_AO-2024,google
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,meta
FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,meta
FPD-SG-LeadGen-WebConv-AO-BookATour-2025,FPD-SG-LeadGen-WebConv-AO-BookATour-2025,meta
FPD-SG-LeadGen-Web-AO-OpenMorning Dec2025 (End 31 March 2026),FPD-SG-LeadGen-Web-AO-OpenMorning Dec2025 (End 31 March 2026),meta
FPD-JP-Lead-Web-VOH-Dec25,FPD-JP-Lead-Web-VOH-Dec25,meta
FPD-HK-Lead-Web-VOH-Dec25,FPD-HK-Lead-Web-VOH-Dec25,meta
FPD-UK-Lead-Web-VOH-Dec25,FPD-UK-Lead-Web-VOH-Dec25,meta
FPD-SG-LeadGen-Web-AO-VOH - 2026 March,FPD-SG-LeadGen-Web-AO-VOH - 2026 March,meta
FPD_PM_Regional_PMAX_JP_PMAX_EN_GENERIC_Generic,FPD_JP_PMax_AO-2024,google
FPD_JP_PMax_AO-2024,FPD_JP_PMax_AO-2024,google
FPD_HK_PMax_AO-2024,FPD_HK_PMax_AO-2024,google
FPD_SG_PMax_AO_Pre&PrePrep 2025,FPD_SG_PMax_AO_Pre&PrePrep 2025,google
