campaign_name,ad_group_name,clicks,impressions,spend,click_share
FPD_SG_DG_AO-DailyBudget,Remarketing,612,121145,948.41,1.0
FPD_SG_Display_Book A Tour,In-market & Affinity Audience,10519,1382419,715.91,1.0
FPD_SG_Search_ALevel,A Level,57,2606,1463.32,1.0
FPD_SG_Search_Brand,Branded,225,1485,1867.81,1.0
FPD_SG_Search_IGCSE School,IGCSE,87,5166,1449.09,1.0
FPD_SG_PMax_AO,Always On SG,820,85945,3010.45,0.587
FPD_SG_PMax_AO,2026May22_Senior_02IGCSE (AO-Senior OM),145,21324,188.77,0.1038
FPD_SG_PMax_AO,2026May22_Senior_01ALevel (AO-Senior OM),289,33163,630.06,0.2069
FPD_SG_PMax_AO,2026May22_Senior_03SixthForm (AO-Senior OM),143,29757,240.04,0.1024
FPD_HK_PMax_AO-2024,Always On HK,132,15553,255.05,1.0
FPD_JP_PMax_AO-2024,Always On JP,263,38802,266.39,1.0
FPD_UK_PMax_AO-2024,Always On UK,380,38026,945.19,1.0
FPD_SG_PMax_AO_Pre&PrePrep 2025,2026May22_EarlyYears_01 (AO-Early Years OM),401,38944,1032.27,0.4797
FPD_SG_PMax_AO_Pre&PrePrep 2025,2026May22_Prep_01 (AO-Prep OM),435,57024,1032.99,0.5203
