journey_id,school,touchpoint,total_touchpoints,date,channel_grouping,source,medium,campaign,country,max_stage,max_stage_idx,status,closed_reason
BCS-0001,BCS,1,1,2026-06-14,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Bangladesh,D1 Lead,0,Active,
BCS-0002,BCS,1,1,2026-06-27,BrandedPaidSearch,google,cpc,FPD_PM_Local_SEM_SG_GSEM_EN_BRAND_Brand,Singapore,D1 Lead,0,Active,
BCS-0003,BCS,1,3,2026-06-11,OrganicSearch,google,organic,(organic),Singapore,D1 Lead,0,Active,
BCS-0003,BCS,2,3,2026-06-11,OrganicSearch,google,organic,(organic),Singapore,D1 Lead,0,Active,
BCS-0003,BCS,3,3,2026-06-12,OrganicSearch,google,organic,(organic),Singapore,D1 Lead,0,Active,
BCS-0004,BCS,1,3,2026-06-11,OrganicSearch,google,organic,(organic),Singapore,D1 Lead,0,Active,
BCS-0004,BCS,2,3,2026-06-11,OrganicSearch,google,organic,(organic),Singapore,D1 Lead,0,Active,
BCS-0004,BCS,3,3,2026-06-12,OrganicSearch,google,organic,(organic),Singapore,D1 Lead,0,Active,
BCS-0005,BCS,1,1,2026-06-16,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Bangladesh,D1 Lead,0,Active,
BCS-0006,BCS,1,6,2026-06-08,Direct,(direct),(none),(direct),China,D1 Lead,0,Active,
BCS-0006,BCS,2,6,2026-06-10,Direct,(direct),(none),(direct),China,D1 Lead,0,Active,
BCS-0006,BCS,3,6,2026-06-10,Direct,(direct),(none),(direct),China,D1 Lead,0,Active,
BCS-0006,BCS,4,6,2026-06-22,OrganicSearch,google,organic,(organic),China,D1 Lead,0,Active,
BCS-0006,BCS,5,6,2026-06-23,Direct,(direct),(none),(direct),China,D1 Lead,0,Active,
BCS-0006,BCS,6,6,2026-06-28,OrganicSearch,google,organic,(organic),China,D1 Lead,0,Active,
BCS-0007,BCS,1,3,2026-06-25,PMaxPaidSearch,google,cpc,FPD_PM_Regional_PMAX_UK_PMAX_EN_GENERIC_Generic,United Kingdom,D1 Lead,0,Active,
BCS-0007,BCS,2,3,2026-06-27,OrganicSearch,google,organic,(organic),United Kingdom,D1 Lead,0,Active,
BCS-0007,BCS,3,3,2026-06-28,PMaxPaidSearch,google,cpc,FPD_UK_PMax_AO-2024,United Kingdom,D1 Lead,0,Active,
BCS-0008,BCS,1,15,2026-06-17,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
