school,landing_page,sessions,users,conversions,conversion_rate,bounce_rate,avg_session_duration
BCS,/,974,746,151,15.5,20.02,268.0
BCS,/admissions/term-dates-fees/,582,437,7,1.2,44.33,150.0
BCS,(not set),323,208,0,0.0,92.88,32.8
BCS,/admissions/book-a-tour/,203,169,52,25.62,21.18,195.8
BCS,/admissions/enquire-now/,144,129,15,10.42,31.25,154.1
BCS,/work-with-us/,131,113,0,0.0,32.06,189.1
BCS,/about-us/our-team/,98,89,4,4.08,26.53,168.2
BCS,/digital-strategy-overview/,98,53,0,0.0,33.67,423.7
BCS,,94,77,2,2.13,100.0,39.6
BCS,/parent-hub/uniform-appearance/,86,67,0,0.0,36.05,216.5
BCS,/parent-hub/school-bus-service/,81,49,1,1.23,28.4,369.2
BCS,/admissions/how-to-apply/,75,48,4,5.33,32.0,311.8
BCS,/about-us/awards-and-accreditations/,74,62,0,0.0,59.46,148.7
BCS,/senior-school/a-level-singapore/,61,48,2,3.28,40.98,122.0
BCS,/pre-prep/life-at-pre-prep-school/,59,52,0,0.0,37.29,254.7
BCS,/open-house-events/weekly-open-mornings/,51,42,7,13.73,39.22,92.2
BCS,/senior-school/igcse-singapore/,44,43,0,0.0,31.82,90.9
BCS,/prep-school/life-at-prep-school/,43,40,0,0.0,34.88,147.8
BCS,/pre-prep/pufflings-toddler-club/,32,18,0,0.0,56.25,101.7
BCS,/parent-hub/,31,21,0,0.0,58.06,278.2
BCS,/open-house-events/,30,27,8,26.67,23.33,363.5
BCS,/senior-school/sixth-form/,23,22,0,0.0,21.74,263.4
BCS,/visit-us/,22,20,0,0.0,36.36,326.9
BCS,/moving-to-singapore-from-the-uk-a-family-guide/,17,15,0,0.0,17.65,148.5
BCS,/thank-you/,17,3,40,235.29,5.88,352.4
BCS,/about-us/our-governance/,13,10,0,0.0,46.15,55.7
BCS,/admissions/scholarships/,13,8,0,0.0,53.85,116.8
BCS,/sixth-form-official-launch-event/,13,13,0,0.0,53.85,120.0
BCS,/admissions/make-an-enquiry/,12,12,1,8.33,33.33,273.3
BCS,/senior-school/life-at-senior-school/,12,10,0,0.0,50.0,298.6
BCS,/discovery-day/,11,7,2,18.18,63.64,23.1
BCS,/about-us/family-of-schools/,10,10,0,0.0,30.0,182.7
BCS,/about-us/who-we-are/,9,9,0,0.0,66.67,380.6
BCS,/pre-prep/academic-life/,9,4,0,0.0,44.44,552.0
BCS,/?gtm_latency=1,8,8,0,0.0,100.0,1.0
BCS,/about-us/news/,7,4,0,0.0,57.14,58.5
BCS,/preparatory-course-primary/,7,3,0,0.0,28.57,63.1
BCS,/senior-school/,6,4,0,0.0,50.0,80.3
BCS,/?page_id=14173&preview=true,5,4,0,0.0,20.0,2464.8
BCS,/a-levels-vs-ib-singapore/,5,3,0,0.0,60.0,324.2
BCS,/campaign/virtual-open-house/,5,3,0,0.0,20.0,1136.8
BCS,/pre-prep/academic-life/subjects/,5,2,0,0.0,0.0,416.3
BCS,/senior-school/beyond-the-classroom/sport-for-all/,5,5,0,0.0,0.0,90.4
BCS,/about-us/awards-and-accreditations/?eps=AHas8cBFANQ6q8KywJC_5kY7ZiPVZsPX8oATwIsHi9kTy7nKOgc6vyfj66VBMVDdaCmhuKR5vg9kEhoMfKHfXZXBn5nOuCfJp9YbAWnmOzSG2rE4W7v3grCzW7ARVE8,4,1,0,0.0,75.0,269.2
BCS,/british-education-system-guide/,4,3,0,0.0,50.0,16.0
BCS,/igcse-grading-system/,4,3,0,0.0,25.0,36.6
BCS,/senior-school/beyond-the-classroom/,4,2,0,0.0,75.0,5.4
BCS,/learning-at-brighton/prep-curriculum/,3,3,0,0.0,0.0,54.9
BCS,/preparatory-course-for-primary-pcp-year-1-year-6/,3,3,0,0.0,33.33,25.2
BCS,/taster-day/,3,1,0,0.0,66.67,536.7
BCS,/?_kx=stape&adct=stape&at_gd=stape&awc=stape&cjevent=stape&epik=stape&fbclid=stape&li_fat_id=stape&qclid=stape&ranSiteID=stape&rdt_cid=stape&rfsn=stape&ScCid=stape&ttclid=stape&twclid=stape,2,2,0,0.0,100.0,5.2
BCS,/about-us/school-policies/,2,2,0,0.0,50.0,79.5
BCS,/admissions/make-an-enquiry/?eps=AHas8cB42cmJ000BeizzuAKAjubX-G0KXthLnl0xSZtai8GdkWcU82TiakSd9_IRBtndzqNbOWd929wjEJQVx-NJcYE0B1tnMwYmJ3Ax4ehiXHQ,2,1,0,0.0,100.0,0.7
BCS,/digital-strategy-overview/?preview_id=14173&preview_nonce=01ffca07ab&_thumbnail_id=-1&preview=true,2,1,0,0.0,0.0,282.6
BCS,/discovery-day/?fbclid=PAZXh0bgNhZW0BMABhZGlkAas0vStQD1xzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAadFFM5KU7aplAulZFiO8loegPoXSCCHq-7qe-Yo3tGUxUYRQ3FOKxOWXjY7Zg_aem_TJIGzxRIsKhZ0zPHKzGRCw,2,1,7,350.0,50.0,166.0
BCS,/english-learning-support/about-eal-programme/,2,2,0,0.0,50.0,165.8
