campaign_name,ad_set_name,clicks,impressions,spend,click_share
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Remarketing_Web-Visitor,198,3906,378.69,0.1439
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Parents-International-Studies,235,5786,432.81,0.1708
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Adv+ Audience Targeting,567,15284,863.22,0.4121
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,ECE-Primary-Secondary,376,8950,556.98,0.2733
FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,All Parents,1131,66644,1396.4,0.7673
FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,Affluent-Parents,343,27957,557.61,0.2327
FPD-SG-LeadGen-WebConv-AO-BookATour-2025,All Parents,403,48141,1068.57,0.2559
FPD-SG-LeadGen-WebConv-AO-BookATour-2025,Affluent-Parents,88,8021,202.62,0.0559
FPD-SG-LeadGen-WebConv-AO-BookATour-2025,Japanese Expats,1084,140190,1149.82,0.6883
FPD-SG-LeadGen-Web-AO-OpenMorning Dec2025 (End 31 March 2026),All Parents,1381,111627,755.76,0.327
FPD-SG-LeadGen-Web-AO-OpenMorning Dec2025 (End 31 March 2026),Affluent-Parents,2722,272321,1355.2,0.6446
FPD-SG-LeadGen-Web-AO-OpenMorning Dec2025 (End 31 March 2026),Remarketing_Web-Visitor,92,9516,249.82,0.0218
FPD-SG-LeadGen-Web-AO-OpenMorning Dec2025 (End 31 March 2026),Japanese Expats,28,4113,28.1,0.0066
FPD-JP-Lead-Web-VOH-Dec25,Japanese Expats,641,61777,634.31,1.0
FPD-HK-Lead-Web-VOH-Dec25,Expats-Parents - New,232,12225,147.35,0.2601
FPD-HK-Lead-Web-VOH-Dec25,Expats-Parents - New,542,24041,312.63,0.6076
FPD-HK-Lead-Web-VOH-Dec25,Expats-Parents,118,7428,173.48,0.1323
FPD-UK-Lead-Web-VOH-Dec25,Expats+Away from family-Parents,1589,53374,859.09,0.7625
FPD-UK-Lead-Web-VOH-Dec25,Expats-Parents - New,447,19547,445.06,0.2145
FPD-UK-Lead-Web-VOH-Dec25,Advantage+ Audience,48,3862,120.75,0.023
